Title: MORB_Gale2013-0

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 100.142974 50.6855 1.71734 15.1374 1.42503 9.02502 0.171613 7.47978 11.2334 2.80899 0.142067 0.173916
5000.00 1568.15 100.143125 50.6854 1.71733 15.1373 1.42653 9.02365 0.171613 7.47977 11.2334 2.80899 0.142066 0.173916
5000.00 1563.15 100.143281 50.6854 1.71733 15.1373 1.42808 9.02224 0.171613 7.47976 11.2333 2.80898 0.142066 0.173916
5000.00 1558.15 100.143443 50.6853 1.71733 15.1373 1.42969 9.02077 0.171612 7.47975 11.2333 2.80898 0.142066 0.173915
5000.00 1553.15 100.143610 50.6852 1.71733 15.1373 1.43135 9.01926 0.171612 7.47973 11.2333 2.80897 0.142066 0.173915
5000.00 1548.15 100.143783 50.6851 1.71732 15.1372 1.43308 9.01769 0.171612 7.47972 11.2333 2.80897 0.142066 0.173915
5000.00 1543.15 100.143962 50.685 1.71732 15.1372 1.43485 9.01608 0.171612 7.47971 11.2333 2.80896 0.142065 0.173915
5000.00 1538.15 100.144146 50.6849 1.71732 15.1372 1.43669 9.0144 0.171611 7.47969 11.2332 2.80896 0.142065 0.173914
5000.00 1533.15 100.144009 50.685 1.71732 15.1372 1.43532 9.01565 0.171611 7.4797 11.2333 2.80896 0.142065 0.173914
5000.00 1528.15 100.143766 50.6851 1.71732 15.1372 1.43291 9.01785 0.171612 7.47972 11.2333 2.80897 0.142066 0.173915
5000.00 1523.15 100.143736 50.6851 1.71732 15.1373 1.43261 9.01812 0.171612 7.47972 11.2333 2.80897 0.142066 0.173915
5000.00 1518.15 100.143894 50.685 1.71732 15.1372 1.43418 9.01669 0.171612 7.47971 11.2333 2.80897 0.142065 0.173915
5000.00 1513.15 100.144148 50.6849 1.71732 15.1372 1.43671 9.01439 0.171611 7.47969 11.2332 2.80896 0.142065 0.173914
5000.00 1508.15 100.142883 50.6856 1.71734 15.1374 1.42412 9.02584 0.171613 7.47979 11.2334 2.80899 0.142067 0.173916
5000.00 1503.15 100.141438 50.6863 1.71736 15.1376 1.40973 9.03894 0.171616 7.4799 11.2335 2.80904 0.142069 0.173919
5000.00 1498.15 100.139972 50.687 1.71739 15.1378 1.39514 9.05222 0.171618 7.48001 11.2337 2.80908 0.142071 0.173921
5000.00 1493.15 100.138633 50.6877 1.71741 15.138 1.38182 9.06435 0.171621 7.48011 11.2339 2.80911 0.142073 0.173924
5000.00 1488.15 100.137429 50.6883 1.71743 15.1382 1.36983 9.07526 0.171623 7.4802 11.234 2.80915 0.142075 0.173926
5000.00 1483.15 100.136348 50.6889 1.71745 15.1384 1.35907 9.08505 0.171625 7.48028 11.2341 2.80918 0.142076 0.173928
5000.00 1478.15 100.135380 50.6894 1.71747 15.1385 1.34944 9.09381 0.171626 7.48035 11.2342 2.80921 0.142077 0.173929
5000.00 1473.15 100.134514 50.6898 1.71748 15.1386 1.34082 9.10166 0.171628 7.48041 11.2343 2.80923 0.142079 0.173931
5000.00 1468.15 100.133736 50.6902 1.71749 15.1388 1.33307 9.10871 0.171629 7.48047 11.2344 2.80925 0.14208 0.173932
5000.00 1463.15 100.133029 50.6905 1.71751 15.1389 1.32603 9.11512 0.17163 7.48052 11.2345 2.80927 0.142081 0.173934
5000.00 1458.15 100.132369 50.6909 1.71752 15.139 1.31946 9.1211 0.171631 7.48057 11.2346 2.80929 0.142082 0.173935
5000.00 1453.15 100.131721 50.6912 1.71753 15.1391 1.31301 9.12697 0.171633 7.48062 11.2346 2.80931 0.142083 0.173936
5000.00 1448.15 100.131034 50.6916 1.71754 15.1392 1.30618 9.13319 0.171634 7.48067 11.2347 2.80933 0.142084 0.173937
5000.00 1443.15 100.130246 50.692 1.71755 15.1393 1.29833 9.14033 0.171635 7.48073 11.2348 2.80935 0.142085 0.173938
5000.00 1438.15 100.129321 50.6924 1.71757 15.1394 1.28912 9.14872 0.171637 7.4808 11.2349 2.80938 0.142086 0.17394
5000.00 1433.15 100.128363 50.6929 1.71759 15.1396 1.27959 9.15739 0.171638 7.48087 11.235 2.8094 0.142087 0.173942
5000.00 1428.15 100.127666 50.6933 1.7176 15.1397 1.27265 9.1637 0.171639 7.48092 11.2351 2.80942 0.142088 0.173943
5000.00 1423.15 100.127383 50.6934 1.7176 15.1397 1.26982 9.16628 0.17164 7.48095 11.2351 2.80943 0.142089 0.173943
5000.00 1418.15 100.127319 50.6934 1.7176 15.1397 1.26919 9.16686 0.17164 7.48095 11.2351 2.80943 0.142089 0.173943
5000.00 1413.15 100.127225 50.6935 1.71761 15.1397 1.26826 9.1677 0.17164 7.48096 11.2351 2.80943 0.142089 0.173944
