Title: MORB_Gale2013-0

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 rhm-oxide_0 whitlockite 
5000.00 1573.15 100.142974 100.142974 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.143125 100.143125 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.143281 100.143281 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.143443 100.143443 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.143610 100.143610 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.143783 100.143783 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.143962 100.143962 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.144146 100.144146 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.144009 98.619696 0.000000 1.524313 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.143766 95.765375 0.000000 4.378391 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.143736 93.013998 0.000000 7.129738 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.143894 90.366285 0.000000 9.777609 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.144148 87.542986 0.000000 12.389773 0.000000 0.000000 0.211389 0.000000 0.000000 
5000.00 1508.15 100.142883 79.832998 0.000000 15.971536 0.000000 0.000000 4.338349 0.000000 0.000000 
5000.00 1503.15 100.141438 72.590476 0.000000 19.226084 0.000000 0.000000 8.324878 0.000000 0.000000 
5000.00 1498.15 100.139972 65.896090 0.000000 21.406185 0.748631 0.000000 12.089066 0.000000 0.000000 
5000.00 1493.15 100.138633 59.782810 0.000000 21.662755 3.123296 0.000000 15.569772 0.000000 0.000000 
5000.00 1488.15 100.137429 54.281482 0.000000 21.907968 5.247558 0.000000 18.700420 0.000000 0.000000 
5000.00 1483.15 100.136348 49.288301 0.000000 22.155841 7.157181 0.000000 21.535024 0.000000 0.000000 
5000.00 1478.15 100.135380 44.721557 0.000000 22.412556 8.884668 0.000000 24.116599 0.000000 0.000000 
5000.00 1473.15 100.134514 40.514209 0.000000 22.679140 10.459784 0.000000 26.481381 0.000000 0.000000 
