Title: MORB_Gale2013-2

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 0.000000 ---
5000.00 1568.15 0.000000 ---
5000.00 1563.15 0.000000 ---
5000.00 1558.15 0.000000 ---
5000.00 1553.15 0.000000 ---
5000.00 1548.15 0.000000 ---
5000.00 1543.15 0.000000 ---
5000.00 1538.15 3.041146 51.9598 0.25162 4.30592 1.12271 7.20112 0 18.6388 16.2917 0.228379 0 0
5000.00 1533.15 5.948418 51.7118 0.28179 4.53587 1.18353 7.20211 0 18.1938 16.6486 0.242519 0 0
5000.00 1528.15 8.746311 51.4799 0.311684 4.75538 1.24086 7.26366 0 17.832 16.8608 0.255684 0 0
5000.00 1523.15 11.435871 51.2558 0.342148 4.96953 1.29645 7.35697 0 17.5134 16.9971 0.268515 0 0
5000.00 1518.15 14.022582 51.0363 0.373516 5.18025 1.35098 7.47024 0 17.2215 17.0859 0.281265 0 0
5000.00 1513.15 16.512871 50.8198 0.405942 5.38833 1.40474 7.59744 0 16.9478 17.1419 0.294061 0 0
5000.00 1508.15 22.425137 50.8189 0.37611 8.55968 1.2584 7.07017 0 14.8767 16.3084 0.727004 0.00465049 0
5000.00 1503.15 29.354659 50.9407 0.349808 10.982 1.13588 6.73803 0 13.2687 15.4624 1.11292 0.00954089 0
5000.00 1498.15 35.735630 51.0704 0.340362 12.3594 1.0712 6.63948 0 12.2854 14.841 1.37901 0.013705 0
5000.00 1493.15 41.561390 51.1957 0.340223 13.2192 1.03616 6.64613 0 11.6037 14.3585 1.5828 0.0176567 0
5000.00 1488.15 46.930816 51.31 0.34869 13.8016 1.01912 6.70986 0 11.0896 13.9492 1.75033 0.0216809 0
5000.00 1483.15 51.816344 51.413 0.362052 14.1948 1.01381 6.80301 0 10.6797 13.6163 1.8915 0.0258196 0
5000.00 1478.15 56.284585 51.5057 0.37891 14.4655 1.01607 6.91478 0 10.3385 13.3363 2.01404 0.0301563 0
5000.00 1473.15 60.398254 51.5888 0.398674 14.6538 1.02346 7.03939 0 10.0454 13.0931 2.12262 0.0347585 0
5000.00 1468.15 64.205844 51.6626 0.420996 14.7839 1.03443 7.17329 0 9.78789 12.8772 2.22003 0.0396774 0
5000.00 1463.15 67.745508 51.7273 0.445638 14.8715 1.04788 7.31406 0 9.55795 12.6826 2.30805 0.0449569 0
5000.00 1458.15 71.047416 51.7835 0.472373 14.9276 1.06292 7.45995 0 9.35017 12.505 2.38787 0.0506379 0
5000.00 1453.15 74.134926 51.8315 0.500918 14.9598 1.07871 7.60951 0 9.1608 12.3417 2.46027 0.0567603 0
