Specimen,A,B,C,D,E
H1,48.8,31.7,3.8,6.4,9.3
H2,48.2,23.8,9,9.2,9.8
H3,37,9.1,34.2,9.5,10.2
H4,50.9,23.8,7.2,10.1,8
H5,44.2,38.3,2.9,7.7,6.9
H6,52.3,26.2,4.2,12.5,4.8
H7,44.6,33,4.6,12.2,5.6
H8,34.6,5.2,42.9,9.6,7.7
H9,41.2,11.7,26.7,9.6,10.8
H10,42.6,46.6,0.7,5.6,4.5
H11,49.9,19.5,11.4,9.5,9.7
H12,45.2,37.3,2.7,5.5,9.3
H13,32.7,8.5,38.9,8,11.9
H14,41.4,12.9,23.4,15.8,6.5
H15,46.2,17.5,15.8,8.3,12.2
H16,32.3,7.3,40.9,12.9,6.6
H17,43.2,44.3,1,7.8,3.7
H18,49.5,32.3,3.1,8.7,6.3
H19,42.3,15.8,20.4,8.3,13.2
H20,44.6,11.5,23.8,11.6,8.5
H21,45.8,16.6,16.8,12,8.8
H22,49.9,25,6.8,10.9,7.4
H23,48.6,34,2.5,9.4,5.5
H24,45.5,16.6,17.6,9.6,10.7
H25,45.9,24.9,9.7,9.8,9.7
