var,value,units,unc_2sigma
ModelName,ARS_Condie1993,,
Reservoir,ArcheanCratonicShale,,
ModelType,Average,,
Reference,Condie (1993),,
Citation,"Condie, K.C., 1993. Chemical composition and evolution of the upper continental crust: Contrasting results from surface samples and shales. Chemical Geology 104, 1-37.",,
DOI,10.1016/0009-2541(93)90140-E,,
Description,,,
SiO2,60.95,%,
Al2O3,17.5,%,
FeO,7.53,%,
MnO,,,
MgO,3.88,%,
CaO,0.64,%,
Na2O,0.68,%,
Cr2O3,,,
TiO2,0.62,%,
NiO,,,
K2O,3.07,%,
P2O5,0.1,%,
H,,,
Li,,,
Be,,,
B,,,
C,,,
N,,,
O,,,
F,,,
Na,,,
Mg,,,
Al,,,
Si,,,
P,,,
S,,,
Cl,,,
K,,,
Ca,,,
Sc,21,ppm,
Ti,,,
V,154,ppm,
Cr,507,ppm,
Mn,,,
Fe,,,
Co,31,ppm,
Ni,221,ppm,
Cu,,,
Zn,,,
Ga,,,
Ge,,,
As,,,
Se,,,
Br,,,
Rb,111,ppm,
Sr,61,ppm,
Y,28,ppm,
Zr,151,ppm,
Nb,11.3,ppm,
Mo,,,
Ru,,,
Rh,,,
Pd,,,
Ag,,,
Cd,,,
In,,,
Sn,,,
Sb,,,
Te,,,
I,,,
Cs,,,
Ba,456,ppm,
La,30.7,ppm,
Ce,60.9,ppm,
Pr,,,
Nd,27.7,ppm,
Sm,4.85,ppm,
Eu,1.12,ppm,
Gd,4.55,ppm,
Tb,0.71,ppm,
Dy,,,
Ho,,,
Er,,,
Tm,,,
Yb,2.43,ppm,
Lu,0.39,ppm,
Hf,4.5,ppm,
Ta,0.84,ppm,
W,,,
Re,,,
Os,,,
Ir,,,
Pt,,,
Au,,,
Hg,,,
Tl,,,
Pb,13,ppm,
Bi,,,
Th,8.5,ppm,
U,2.4,ppm,
