var,value,units,unc_2sigma
ModelName,BCC_McLennan2001,,
Reservoir,BulkContinentalCrust,,
ModelType,Calculation,,
Reference,McLennan (2001),,
Citation,"McLennan, S.M. (2001). Relationships between the trace element composition of sedimentary rocks and upper continental crust. Geochemistry, Geophysics, Geosystems 2.",,
DOI,10.1029/2000GC000109,,
Description,,,
SiO2,,,
Al2O3,,,
FeO,,,
MnO,,,
MgO,,,
CaO,,,
Na2O,,,
Cr2O3,,,
TiO2,,,
NiO,,,
K2O,,,
P2O5,,,
H,,,
Li,13,ppm,
Be,1.5,ppm,
B,10,ppm,
C,,,
N,,,
O,,,
F,,,
Na,2.3,%,
Mg,3.2,%,
Al,8.41,%,
Si,26.8,%,
P,,,
S,,,
Cl,,,
K,1.1,%,
Ca,5.29,%,
Sc,30,ppm,
Ti,0.54,%,
V,230,ppm,
Cr,185,ppm,
Mn,1400,ppm,
Fe,7.07,%,
Co,29,ppm,
Ni,128,ppm,
Cu,75,ppm,
Zn,80,ppm,
Ga,18,ppm,
Ge,1.6,ppm,
As,1,ppm,
Se,50,ppm,
Br,,,
Rb,37,ppm,
Sr,260,ppm,
Y,20,ppm,
Zr,100,ppm,
Nb,8,ppm,
Mo,1,ppm,
Ru,,,
Rh,,,
Pd,1,ppb,
Ag,80,ppb,
Cd,98,ppb,
In,50,ppb,
Sn,2.5,ppm,
Sb,0.2,ppm,
Te,,,
I,,,
Cs,1.5,ppm,
Ba,250,ppm,
La,16,ppm,
Ce,33,ppm,
Pr,3.9,ppm,
Nd,16,ppm,
Sm,3.5,ppm,
Eu,1.1,ppm,
Gd,3.3,ppm,
Tb,0.6,ppm,
Dy,3.7,ppm,
Ho,0.78,ppm,
Er,2.2,ppm,
Tm,0.32,ppm,
Yb,2.2,ppm,
Lu,0.3,ppm,
Hf,3,ppm,
Ta,0.8,ppm,
W,1,ppm,
Re,0.4,ppb,
Os,0.05,ppb,
Ir,0.1,ppb,
Pt,,,
Au,3,ppb,
Hg,,,
Tl,360,ppb,
Pb,8,ppm,
Bi,60,ppb,
Th,4.2,ppm,
U,1.1,ppm,
