var,value,units,unc_2sigma,constraint_var,constraint_value,constraint_comment
ModelName,Chondrite_PON,,,,,
Reservoir,Chondrite,,,,,
ModelType,Calculation,,,,,
Reference,Palme and O'Neill (2014),,,,,
Citation,"Palme, H., O-Neill, H.St.C. (2014). Cosmochemical Estimates of Mantle Composition. Treatise on Geochemistry (Second Edition) 3, 1-39.",,,,,
DOI,10.1016/B978-0-08-095975-7.00201-1,,,,,
Description,,,,,,
Al2O3,,,,,,
FeO,,,,,,
MnO,,,,,,
MgO,,,,,,
CaO,,,,,,
Na2O,,,,,,
Cr2O3,,,,,,
TiO2,,,,,,
NiO,,,,,,
K2O,,,,,,
P2O5,,,,,,
H,1.97,%,0.394,,,Mass balance
Li,1.45,ppm,0.29,,,Data on mantle rocks
Be,0.0219,ppm,0.003066,,,RLE; PM/CI = 2.83
B,0.775,ppm,0.155,,,B/K = 1.0 - 3 - 10? 3
C,3.48,%,0.696,,,Mass balance
N,0.295,%,0.0885,,,Mass balance
O,45.9,%,9.18,,,Stoichiometry; with Fe3 +/? Fe = 0.03
F,58.2,ppm,18.624,,,F/K = 0.09 - 0.03; F/P = 0.3 - 0.1
Na,4962,ppm,893.16,,,vs. MgO
Mg,9.54,%,0.7632,,,Major element (see text)
Al,0.84,%,0.1008,,,Major element (see text)
Si,10.7,%,0.642,,,Major element (see text)
P,985,ppm,157.6,,,P/Nd = 65 - 10
S,5.35,%,0.535,,,vs. MgO; komatiites
Cl,698,ppm,209.4,,,Mass balance
K,546,ppm,98.28,,,Mean of K/U and K/La
Ca,0.911,%,0.10932,,,Major element (see text)
Sc,5.81,ppm,0.6972,,,RLE; PM/CI = 2.83
Ti,447,ppm,62.58,,,RLE; PM/CI = 2.83
V,54.6,ppm,6.552,,,vs. MgO
Cr,2623,ppm,262.3,,,vs. MgO
Mn,1916,ppm,229.92,,,vs. MgO
Fe,18.66,%,1.4928,,,Major element (see text)
Co,513,ppm,41.04,,,vs. MgO
Ni,1.091,%,0.15274,,,vs. MgO
Cu,133,ppm,37.24,,,
Zn,309,ppm,24.72,,,vs. MgO
Ga,9.62,ppm,1.1544,,,vs. MgO
Ge,32.6,ppm,5.868,,,vs. SiO2
As,1.74,ppm,0.3132,,,As/Pb = 0.37 - 0.10 in OFB
Se,20.3,ppm,2.842,,,CI-ratio S/Se = 2635
Br,3.26,ppm,0.978,,,Cl/Br = 400 - 50
Rb,2.32,ppm,0.3712,,,Rb/Sr = 0.029 - 0.002 (Sr isotopes); Rb/Ba = 0.09 - 0.02
Sr,7.79,ppm,1.0906,,,RLE; PM/CI = 2.83
Y,1.46,ppm,0.146,,,RLE; PM/CI = 2.83
Zr,3.63,ppm,0.363,,,RLE; PM/CI = 2.83
Nb,0.283,ppm,0.0566,,,Nb/Ta = 14.0 - 0.3
Mo,0.961,ppm,0.1922,,,Mo/Ce = 0.027 - 0.012
Ru,0.69,ppm,0.069,,,HSE
Rh,0.132,ppm,0.0132,,,HSE
Pd,0.56,ppm,0.0448,,,HSE
Ag,0.201,ppm,0.03618,,,Ag/Cu = 2.9 - 0.5 - 10? 4 in OFB
Cd,0.674,ppm,0.09436,,,Cd vs Ca in mantle rocks
In,0.0778,ppm,0.00778,,,In vs. Ca in mantle rocks
Sn,1.63,ppm,0.489,,,Sn/Sm = 0.32 - 0.06
Sb,0.145,ppm,0.0406,,,Sb/Pb = 0.029 - 0.011 in OFB
Te,2.28,ppm,0.3192,,,S/Te = 23500 (CI)
I,0.53,ppm,0.212,,,Mass balance
Cs,0.188,ppm,0.02256,,,Cs/Ba = 1.1 - 10? 3 in the mantle; 3.6 - 10? 3 in the crust
Ba,2.42,ppm,0.242,,,RLE; PM/CI = 2.83
La,0.2414,ppm,0.014484,,,RLE; PM/CI = 2.83
Ce,0.6194,ppm,0.037164,,,RLE; PM/CI = 2.83
Pr,0.0939,ppm,0.005634,,,RLE; PM/CI = 2.83
Nd,0.4737,ppm,0.028422,,,RLE; PM/CI = 2.83
Sm,0.1536,ppm,0.009216,,,RLE; PM/CI = 2.83
Eu,0.05883,ppm,0.0035298,,,RLE; PM/CI = 2.83
Gd,0.2069,ppm,0.012414,,,RLE; PM/CI = 2.83
Tb,0.03797,ppm,0.0022782,,,RLE; PM/CI = 2.83
Dy,0.2558,ppm,0.015348,,,RLE; PM/CI = 2.83
Ho,0.05644,ppm,0.0033864,,,RLE; PM/CI = 2.83
Er,0.1655,ppm,0.00993,,,RLE; PM/CI = 2.83
Tm,0.02609,ppm,0.0015654,,,RLE; PM/CI = 2.83
Yb,0.1687,ppm,0.010122,,,RLE; PM/CI = 2.83
Lu,0.02503,ppm,0.0015018,,,RLE; PM/CI = 2.83
