var,value,units,unc_2sigma,constraint_var,constraint_value,constraint_comment
ModelName,PAAS_Pourmand2012,,,,,
Reservoir,PostArcheanAustralianShale,,,,,
ModelType,Average,,,,,
Reference,Pourmand et al. 2012,,,,,
SiO2,,,,,,
Al2O3,,,,,,
FeO,,,,,,
MnO,,,,,,
MgO,,,,,,
CaO,,,,,,
Na2O,,,,,,
Cr2O3,,,,,,
TiO2,,,,,,
NiO,,,,,,
K2O,,,,,,
P2O5,,,,,,
H,,,,,,
Li,,,,,,
Be,,,,,,
B,,,,,,
C,,,,,,
N,,,,,,
O,,,,,,
F,,,,,,
Na,,,,,,
Mg,,,,,,
Al,,,,,,
Si,,,,,,
P,,,,,,
S,,,,,,
Cl,,,,,,
K,,,,,,
Ca,,,,,,
Sc,15.89,ppm,,,,
Ti,,,,,,
V,,,,,,
Cr,,,,,,
Mn,,,,,,
Fe,,,,,,
Co,,,,,,
Ni,,,,,,
Cu,,,,,,
Zn,,,,,,
Ga,,,,,,
Ge,,,,,,
As,,,,,,
Se,,,,,,
Br,,,,,,
Rb,,,,,,
Sr,,,,,,
Y,27.31,ppm,,,,
Zr,,,,,,
Nb,,,,,,
Mo,,,,,,
Ru,,,,,,
Rh,,,,,,
Pd,,,,,,
Ag,,,,,,
Cd,,,,,,
In,,,,,,
Sn,,,,,,
Sb,,,,,,
Te,,,,,,
I,,,,,,
Cs,,,,,,
Ba,,,,,,
La,44.56,ppm,,,,
Ce,88.25,ppm,,,,
Pr,10.15,ppm,,,,
Nd,37.32,ppm,,,,
Sm,6.884,ppm,,,,
Eu,1.215,ppm,,,,
Gd,6.043,ppm,,,,
Tb,0.8914,ppm,,,,
Dy,5.325,ppm,,,,
Ho,1.053,ppm,,,,
Er,3.075,ppm,,,,
Tm,0.451,ppm,,,,
Yb,3.012,ppm,,,,
Lu,0.4386,ppm,,,,
Hf,,,,,,
Ta,,,,,,
W,,,,,,
Re,,,,,,
Os,,,,,,
Ir,,,,,,
Pt,,,,,,
Au,,,,,,
Hg,,,,,,
Tl,,,,,,
Pb,,,,,,
Bi,,,,,,
Th,,,,,,
U,,,,,,
