var,value,units,unc_2sigma,constraint_var,constraint_value,constraint_comment
ModelName,PAAS_TM1985,,,,,
Reservoir,PostArcheanAustralianShale,,,,,
ModelType,Average,,,,,
Reference,Taylor & McLennan (1985); McLennan (2001),,,,,
Citation,"Taylor, S.R., McLennan, S.M. (1985). The Continental Crust: Its Composition and Evolution. Blackwell Scientific Publications.",,,,,
DOI,,,,,,
Description,,,,,,
SiO2,62.8,%,,,,
Al2O3,18.9,%,,,,
FeO,6.5,%,,,,
MnO,0.11,%,,,,
MgO,2.2,%,,,,
CaO,1.3,%,,,,
Na2O,1.2,%,,,,
Cr2O3,,,,,,
TiO2,1,%,,,,
NiO,,,,,,
K2O,3.7,%,,,,
P2O5,0.16,%,,,,
H,,,,,,
Li,75,ppm,,,,
Be,,,,,,
B,100,ppm,,,,
C,,,,,,
N,,,,,,
O,,,,,,
F,,,,,,
Na,,,,,,
Mg,,,,,,
Al,,,,,,
Si,,,,,,
P,,,,,,
S,,,,,,
Cl,,,,,,
K,,,,,,
Ca,,,,,,
Sc,16,ppm,,,,
Ti,,,,,,
V,140,ppm,,,,
Cr,100,ppm,,,,
Mn,,,,,,
Fe,,,,,,
Co,20,ppm,,,,
Ni,60,ppm,,,,
Cu,50,ppm,,,,
Zn,85,ppm,,,,
Ga,20,ppm,,,,
Ge,,,,,,
As,,,,,,
Se,,,,,,
Br,,,,,,
Rb,160,ppm,,,,
Sr,200,ppm,,,,
Y,27,ppm,,,,
Zr,210,ppm,,,,
Nb,18,ppm,,,,
Mo,1,ppm,,,,
Ru,,,,,,
Rh,,,,,,
Pd,,,,,,
Ag,,,,,,
Cd,,,,,,
In,,,,,,
Sn,4,ppm,,,,
Sb,,,,,,
Te,,,,,,
I,,,,,,
Cs,6,ppm,,,,
Ba,650,ppm,,,,
La,38.2,ppm,,,,
Ce,80,ppm,,,,
Pr,8.9,ppm,,,,
Nd,32,ppm,,,,
Sm,5.6,ppm,,,,
Eu,1.1,ppm,,,,
Gd,4.7,ppm,,,,
Tb,0.77,ppm,,,,
Dy,4.4,ppm,,,,
Ho,1,ppm,,,,
Er,2.9,ppm,,,,
Tm,0.4,ppm,,,,
Yb,2.8,ppm,,,,
Lu,0.43,ppm,,,,
Hf,5,ppm,,,,
Ta,1.28,ppm,,,,
W,2.7,ppm,,,,
Re,,,,,,
Os,,,,,,
Ir,,,,,,
Pt,,,,,,
Au,,,,,,
Hg,,,,,,
Tl,,,,,,
Pb,20,ppm,,,,
Bi,0.25,ppm,,,,
Th,14.6,ppm,,,,
U,3.1,ppm,,,,
