var,value,units,unc_2sigma,constraint_var,constraint_value,constraint_comment
ModelName,PHS_Condie1993,,,,,
Reservoir,PhanerozoicCratonicShale,,,,,
ModelType,Average,,,,,
Reference,Condie (1993),,,,,
Citation,"Condie, K.C., 1993. Chemical composition and evolution of the upper continental crust: Contrasting results from surface samples and shales. Chemical Geology 104, 1-37.",,,,,
DOI,10.1016/0009-2541(93)90140-E,,,,,
Description,,,,,,
SiO2,63.6,%,,,,
Al2O3,17.8,%,,,,
FeO,5.89,%,,,,
MnO,,,,,,
MgO,2.3,%,,,,
CaO,1.3,%,,,,
Na2O,1.1,%,,,,
Cr2O3,,,,,,
TiO2,0.82,%,,,,
NiO,,,,,,
K2O,3.84,%,,,,
P2O5,0.14,%,,,,
H,,,,,,
Li,,,,,,
Be,,,,,,
B,,,,,,
C,,,,,,
N,,,,,,
O,,,,,,
F,,,,,,
Na,,,,,,
Mg,,,,,,
Al,,,,,,
Si,,,,,,
P,,,,,,
S,,,,,,
Cl,,,,,,
K,,,,,,
Ca,,,,,,
Sc,16,ppm,,,,
Ti,,,,,,
V,117,ppm,,,,
Cr,104,ppm,,,,
Mn,,,,,,
Fe,,,,,,
Co,20,ppm,,,,
Ni,54,ppm,,,,
Cu,,,,,,
Zn,,,,,,
Ga,,,,,,
Ge,,,,,,
As,,,,,,
Se,,,,,,
Br,,,,,,
Rb,163,ppm,,,,
Sr,136,ppm,,,,
Y,33,ppm,,,,
Zr,201,ppm,,,,
Nb,15.4,ppm,,,,
Mo,,,,,,
Ru,,,,,,
Rh,,,,,,
Pd,,,,,,
Ag,,,,,,
Cd,,,,,,
In,,,,,,
Sn,,,,,,
Sb,,,,,,
Te,,,,,,
I,,,,,,
Cs,,,,,,
Ba,551,ppm,,,,
La,38.8,ppm,,,,
Ce,82,ppm,,,,
Pr,,,,,,
Nd,32.3,ppm,,,,
Sm,5.75,ppm,,,,
Eu,1.14,ppm,,,,
Gd,5.22,ppm,,,,
Tb,0.81,ppm,,,,
Dy,,,,,,
Ho,,,,,,
Er,,,,,,
Tm,,,,,,
Yb,2.95,ppm,,,,
Lu,0.47,ppm,,,,
Hf,4.6,ppm,,,,
Ta,1.4,ppm,,,,
W,,,,,,
Re,,,,,,
Os,,,,,,
Ir,,,,,,
Pt,,,,,,
Au,,,,,,
Hg,,,,,,
Tl,,,,,,
Pb,22,ppm,,,,
Bi,,,,,,
Th,13.5,ppm,,,,
U,2.9,ppm,,,,
