var,value,units,unc_2sigma,constraint_var,constraint_value,constraint_comment
ModelName,UCC_McLennan2001,,,,,
Reservoir,UpperContinentalCrust,,,,,
ModelType,Calculation,,,,,
Reference,McLennan 2001,,,,,
SiO2,65.9,%,,,,
Al2O3,15.2,%,,,,
FeO,4.5,%,,,,
MnO,0.077,%,,,,
MgO,2.21,%,,,,
CaO,4.2,%,,,,
Na2O,3.9,%,,,,
Cr2O3,0.012,%,,,,
TiO2,0.68,%,,,,
NiO,0.006,%,,,,
K2O,3.4,%,,,,
P2O5,0.16,%,,,,
H,,,,,,
Li,20,ppm,,,,
Be,3,ppm,,,,
B,15,ppm,,,,
C,,,,,,
N,,,,,,
O,,,,,,
F,,,,,,
Na,2.89,%,,,,
Mg,1.33,%,,,,
Al,8.04,%,,,,
Si,30.8,%,,,,
P,700,ppm,,,,
S,,,,,,
Cl,,,,,,
K,2.8,%,,,,
Ca,3,%,,,,
Sc,13.6,ppm,,,,
Ti,0.41,%,,,,
V,107,ppm,,,,
Cr,83,ppm,,,,
Mn,600,ppm,,,,
Fe,3.5,%,,,,
Co,17,ppm,,,,
Ni,44,ppm,,,,
Cu,25,ppm,,,,
Zn,71,ppm,,,,
Ga,17,ppm,,,,
Ge,1.6,ppm,,,,
As,1.5,ppm,,,,
Se,50,ppm,,,,
Br,,,,,,
Rb,112,ppm,,,,
Sr,350,ppm,,,,
Y,22,ppm,,,,
Zr,190,ppm,,,,
Nb,12,ppm,,,,
Mo,1.5,ppm,,,,
Ru,,,,,,
Rh,,,,,,
Pd,0.5,ppb,,,,
Ag,50,ppb,,,,
Cd,98,ppb,,,,
In,50,ppb,,,,
Sn,5.5,ppm,,,,
Sb,0.2,ppm,,,,
Te,,,,,,
I,,,,,,
Cs,4.6,ppm,,,,
Ba,550,ppm,,,,
La,30,ppm,,,,
Ce,64,ppm,,,,
Pr,7.1,ppm,,,,
Nd,26,ppm,,,,
Sm,4.5,ppm,,,,
Eu,0.88,ppm,,,,
Gd,3.8,ppm,,,,
Tb,0.64,ppm,,,,
Dy,3.5,ppm,,,,
Ho,0.8,ppm,,,,
Er,2.3,ppm,,,,
Tm,0.33,ppm,,,,
Yb,2.2,ppm,,,,
Lu,0.32,ppm,,,,
Hf,5.8,ppm,,,,
Ta,1,ppm,,,,
W,2,ppm,,,,
Re,0.4,ppb,,,,
Os,0.05,ppb,,,,
Ir,0.02,ppb,,,,
Pt,,,,,,
Au,1.8,ppb,,,,
Hg,,,,,,
Tl,750,ppb,,,,
Pb,17,ppm,,,,
Bi,127,ppb,,,,
Th,10.7,ppm,,,,
U,2.8,ppm,,,,
