var,value,units,unc_2sigma,constraint_var,constraint_value,constraint_comment
ModelName,D-DMM_WH2005,,,,,
Reservoir,DepletedDepletedMORBMantle,,,,,
ModelType,,,,,,
Reference,Workman & Hart 2005,,,,,
SiO2,,,,,,
Al2O3,,,,,,
FeO,,,,,,
MnO,,,,,,
MgO,,,,,,
CaO,,,,,,
Na2O,,,,,,
Cr2O3,,,,,,
TiO2,,,,,,
NiO,,,,,,
K2O,,,,,,
P2O5,,,,,,
H,,,,,,
Li,,,,,,
Be,,,,,,
B,,,,,,
C,,,,,,
N,,,,,,
O,,,,,,
F,,,,,,
Na,,,,,,
Mg,,,,,,
Al,,,,,,
Si,,,,,,
P,,,,,,
S,,,,,,
Cl,,,,,,
K,,,,,,
Ca,,,,,,
Sc,,,,,,
Ti,792,,,,,
V,,,,,,
Cr,,,,,,
Mn,,,,,,
Fe,,,,,,
Co,,,,,,
Ni,,,,,,
Cu,,,,,,
Zn,,,,,,
Ga,,,,,,
Ge,,,,,,
As,,,,,,
Se,,,,,,
Br,,,,,,
Rb,0.108,,,,,
Sr,9.718,,,,,
Y,3.548,,,,,
Zr,6.087,,,,,
Nb,0.2462,,,,,
Mo,,,,,,
Ru,,,,,,
Rh,,,,,,
Pd,,,,,,
Ag,,,,,,
Cd,,,,,,
In,,,,,,
Sn,,,,,,
Sb,,,,,,
Te,,,,,,
I,,,,,,
Cs,,,,,,
Ba,1.219,,,,,
La,0.253,,,,,
Ce,0.726,,,,,
Pr,0.132,,,,,
Nd,0.703,,,,,
Sm,0.273,,,,,
Eu,0.108,,,,,
Gd,0.397,,,,,
Tb,0.076,,,,,
Dy,0.543,,,,,
Ho,0.123,,,,,
Er,0.369,,,,,
Tm,,,,,,
Yb,0.382,,,,,
Lu,0.06,,,,,
Hf,0.186,,,,,
Ta,0.0159,,,,,
W,,,,,,
Re,,,,,,
Os,,,,,,
Ir,,,,,,
Pt,,,,,,
Au,,,,,,
Hg,,,,,,
Tl,,,,,,
Pb,0.024,,,,,
Bi,,,,,,
Th,0.0157,,,,,
U,0.0052,,,,,
87Sr/86Sr,0.70307,,,,,
143Nd/144Nd,0.513,,,,,
176Hf/177Hf,0.2831,,,,,
206Pb/204Pb,18.977,,,,,
207Pb/204Pb,15.568,,,,,
Rb/Sr,0.0111,,,,,
Sm/Nd,0.388,,,,,
Lu/Hf,0.325,,,,,
U/Pb,0.217,,,,,
Th/U,3,,,,,
