var,value,units,unc_2sigma,constraint_var,constraint_value,constraint_comment
ModelName,LCC_RG2003,,,,,
Reservoir,LowerContinentalCrust,,,,,
ModelType,Calculation,,,,,
Reference,Rudnick & Gao 2003,,,,,
SiO2,53.4,%,,,,
Al2O3,16.9,%,,,,
FeO,8.57,%,,,,
MnO,0.1,%,,,,
MgO,7.24,%,,,,
CaO,9.59,%,,,,
Na2O,2.65,%,,,,
Cr2O3,,,,,,
TiO2,0.82,%,,,,
NiO,,,,,,
K2O,0.61,%,,,,
P2O5,0.1,%,,,,
H,,,,,,
Li,13,ppm,,,,
Be,1.4,ppm,,,,
B,2,ppm,,,,
C,,,,,,
N,,,,,,
O,,,,,,
F,570,ppm,,,,
Na,34,ppm,,,,
Mg,,,,,,
Al,,,,,,
Si,,,,,,
P,,,,,,
S,345,ppm,,,,
Cl,250,ppm,,,,
K,,,,,,
Ca,,,,,,
Sc,31,ppm,,,,
Ti,,,,,,
V,196,ppm,,,,
Cr,215,ppm,,,,
Mn,,,,,,
Fe,,,,,,
Co,38,ppm,,,,
Ni,88,ppm,,,,
Cu,26,ppm,,,,
Zn,78,ppm,,,,
Ga,13,ppm,,,,
Ge,1.3,ppm,,,,
As,0.2,ppm,,,,
Se,0.2,ppm,,,,
Br,,,,,,
Rb,11,ppm,,,,
Sr,348,ppm,,,,
Y,16,ppm,,,,
Zr,68,ppm,,,,
Nb,5,ppm,,,,
Mo,0.6,ppm,,,,
Ru,0.75,ppb,,,,
Rh,,,,,,
Pd,2.8,ppb,,,,
Ag,65,ppb,,,,
Cd,0.1,ppm,,,,
In,0.05,ppm,,,,
Sn,1.7,ppm,,,,
Sb,0.1,ppm,,,,
Te,,,,,,
I,,,,,,
Cs,0.3,ppm,,,,
Ba,259,ppm,,,,
La,8,ppm,,,,
Ce,20,ppm,,,,
Pr,2.4,ppm,,,,
Nd,11,ppm,,,,
Sm,2.8,ppm,,,,
Eu,1.1,ppm,,,,
Gd,3.1,ppm,,,,
Tb,0.48,ppm,,,,
Dy,3.1,ppm,,,,
Ho,0.68,ppm,,,,
Er,1.9,ppm,,,,
Tm,0.24,ppm,,,,
Yb,1.5,ppm,,,,
Lu,0.25,ppm,,,,
Hf,1.9,ppm,,,,
Ta,0.6,ppm,,,,
W,0.6,ppm,,,,
Re,0.18,ppb,,,,
Os,0.05,ppb,,,,
Ir,0.05,ppb,,,,
Pt,2.7,ppb,,,,
Au,1.6,ppb,,,,
Hg,0.014,ppm,,,,
Tl,0.32,ppm,,,,
Pb,4,ppm,,,,
Bi,0.2,ppm,,,,
Th,1.2,ppm,,,,
U,0.2,ppm,,,,
